Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease, all ages†, Confirmed, Current week","Invasive Pneumococcal Disease, all ages†, Confirmed, Current week, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2018","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2018, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2017","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease, all ages†, Probable, Current week","Invasive Pneumococcal Disease, all ages†, Probable, Current week, flag","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2018","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2018, flag","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2017","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2017, flag",Location 1,Location 2
GUAM,2018,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
PUERTO RICO,2018,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2018,9,23,,13,,52,,214,,145,,,-,0,,2,,3,,1,,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2018,9,1,,3,,16,,9,,54,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
IDAHO,2018,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
CONNECTICUT,2018,9,,-,4,,15,,44,,66,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PENNSYLVANIA,2018,9,8,,11,,23,,139,,149,,,-,1,,4,,14,,5,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2018,9,,-,2,,6,,23,,35,,,-,0,,1,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2018,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2018,9,38,,23,,62,,386,,270,,1,,0,,3,,11,,,-,"OHIO
(40.056807, -82.405897)",
VERMONT,2018,9,1,,1,,5,,17,,8,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DELAWARE,2018,9,,-,1,,5,,16,,20,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CALIFORNIA,2018,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MONTANA,2018,9,1,,2,,7,,21,,13,,,-,0,,1,,,-,2,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2018,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2018,9,3,,2,,10,,32,,27,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2018,9,,-,1,,6,,7,,13,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2018,10,212,,339,,962,,4696,,4773,,3,,3,,12,,74,,27,,,
NEW ENGLAND,2018,10,2,,22,,58,,262,,340,,,-,0,,2,,1,,,-,,
MID. ATLANTIC,2018,10,60,,48,,121,,734,,607,,2,,1,,10,,24,,9,,,
NEW YORK CITY,2018,10,13,,13,,29,,223,,189,,1,,0,,2,,1,,,-,,
E.N. CENTRAL,2018,10,3,,60,,145,,767,,832,,,-,0,,3,,16,,3,,,
W.N. CENTRAL,2018,10,13,,23,,61,,356,,382,,1,,1,,4,,18,,8,,,
S. ATLANTIC,2018,10,29,,54,,129,,676,,914,,,-,0,,3,,4,,1,,,
E.S. CENTRAL,2018,10,14,,33,,92,,577,,535,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2018,10,60,,39,,313,,764,,509,,,-,0,,2,,3,,4,,,
MOUNTAIN,2018,10,31,,40,,100,,530,,609,,,-,0,,2,,8,,2,,,
PACIFIC,2018,10,,-,3,,11,,30,,45,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
NORTH DAKOTA,2018,10,,-,1,,5,,16,,19,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2018,10,,-,9,,24,,108,,156,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2018,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSISSIPPI,2018,10,,-,6,,15,,91,,67,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OREGON,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
IOWA,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
LOUISIANA,2018,10,10,,6,,27,,175,,82,,,-,0,,2,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2018,10,,-,1,,7,,20,,25,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2018,10,5,,16,,37,,204,,262,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MISSOURI,2018,10,8,,11,,36,,215,,189,,1,,0,,4,,15,,7,,"MISSOURI
(38.636168, -92.566292)",
VIRGIN ISL.,2018,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
WASHINGTON,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2018,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
COLORADO,2018,10,,-,11,,20,,,-,129,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2018,10,5,,6,,20,,105,,109,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
PUERTO RICO,2018,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
VERMONT,2018,10,,-,1,,5,,18,,9,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2018,10,,-,0,,3,,9,,6,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WEST VIRGINIA,2018,10,,-,4,,16,,57,,63,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2018,10,,-,2,,7,,10,,20,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
IDAHO,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2018,10,10,,9,,27,,140,,140,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
CONNECTICUT,2018,10,,-,5,,15,,69,,71,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
TEXAS,2018,10,39,,27,,252,,492,,339,,,-,0,,2,,2,,4,,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2018,10,21,,12,,57,,329,,221,,,-,0,,2,,8,,,-,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2018,10,,-,1,,5,,16,,23,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MICHIGAN,2018,10,1,,14,,38,,115,,224,,,-,0,,2,,5,,3,,"MICHIGAN
(44.66399, -84.711206)",
MASSACHUSETTS,2018,10,,-,10,,24,,111,,176,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
KENTUCKY,2018,10,,-,7,,19,,98,,99,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2018,10,11,,6,,48,,97,,88,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2018,10,2,,12,,39,,158,,157,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2018,10,2,,6,,26,,123,,46,,,-,0,,10,,6,,3,,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
PENNSYLVANIA,2018,10,8,,10,,24,,150,,169,,,-,1,,4,,14,,6,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2018,10,4,,2,,7,,25,,14,,,-,0,,1,,,-,2,,"MONTANA
(47.062617, -109.430168)",
NEW YORK,2018,10,37,,16,,83,,238,,203,,1,,0,,1,,3,,,-,"NEW YORK
(42.826892, -75.544286)",
MAINE,2018,10,2,,2,,10,,34,,32,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
DIST. OF COL.,2018,10,,-,1,,4,,11,,18,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2018,10,,-,6,,29,,11,,241,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
TENNESSEE,2018,10,12,,14,,40,,260,,262,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2018,10,,-,0,,5,,5,,5,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
RHODE ISLAND,2018,10,,-,1,,6,,7,,17,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALABAMA,2018,10,2,,6,,30,,128,,107,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2018,10,,-,0,,13,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTH CAROLINA,2018,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2018,10,14,,13,,52,,228,,161,,,-,0,,2,,3,,1,,"FLORIDA
(28.915325, -81.922409)",
SOUTH DAKOTA,2018,10,2,,2,,9,,23,,31,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
UTAH,2018,10,,-,5,,12,,53,,61,,,-,0,,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEVADA,2018,10,1,,3,,16,,13,,70,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2018,10,3,,2,,10,,48,,54,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
NEW HAMPSHIRE,2018,10,,-,2,,6,,23,,35,,,-,0,,1,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2018,10,,-,4,,11,,54,,89,,,-,0,,1,,1,,,-,"KANSAS
(38.345528, -98.201847)",
OHIO,2018,10,,-,23,,62,,386,,295,,,-,0,,3,,11,,,-,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2018,11,227,,339,,974,,5200,,5165,,5,,3,,12,,81,,28,,,
NEW ENGLAND,2018,11,6,,24,,58,,325,,367,,,-,0,,2,,1,,,-,,
MID. ATLANTIC,2018,11,53,,48,,120,,801,,653,,1,,1,,10,,26,,9,,,
NEW YORK CITY,2018,11,17,,13,,29,,243,,200,,,-,0,,2,,1,,,-,,
E.N. CENTRAL,2018,11,26,,59,,145,,825,,914,,1,,0,,3,,17,,3,,,
W.N. CENTRAL,2018,11,15,,24,,63,,387,,416,,2,,1,,6,,20,,9,,,
S. ATLANTIC,2018,11,24,,56,,140,,764,,914,,,-,0,,2,,4,,1,,,
E.S. CENTRAL,2018,11,13,,34,,93,,634,,575,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2018,11,66,,39,,314,,856,,594,,1,,0,,2,,4,,4,,,
MOUNTAIN,2018,11,22,,40,,100,,565,,680,,,-,0,,2,,9,,2,,,
PACIFIC,2018,11,2,,3,,11,,43,,52,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
OREGON,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NEW HAMPSHIRE,2018,11,,-,2,,6,,28,,35,,,-,0,,1,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2018,11,2,,2,,9,,26,,34,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2018,11,3,,2,,10,,38,,33,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
WYOMING,2018,11,1,,0,,5,,7,,7,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2018,11,31,,16,,83,,269,,220,,1,,0,,1,,4,,,-,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2018,11,,-,4,,16,,57,,72,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2018,11,,-,16,,37,,204,,287,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2018,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
IOWA,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MONTANA,2018,11,3,,2,,7,,28,,17,,,-,0,,1,,,-,2,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2018,11,,-,3,,13,,15,,83,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2018,11,1,,14,,38,,119,,244,,,-,0,,2,,5,,3,,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2018,11,14,,6,,48,,111,,93,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2018,11,,-,1,,5,,22,,26,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MINNESOTA,2018,11,,-,0,,13,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
DIST. OF COL.,2018,11,,-,1,,4,,17,,19,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
C.N.M.I.,2018,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH DAKOTA,2018,11,,-,1,,5,,23,,21,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2018,11,,-,12,,39,,172,,175,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OHIO,2018,11,20,,22,,62,,417,,330,,1,,0,,3,,12,,,-,"OHIO
(40.056807, -82.405897)",
VIRGINIA,2018,11,,-,0,,3,,9,,7,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MASSACHUSETTS,2018,11,,-,11,,24,,155,,190,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2018,11,,-,10,,20,,,-,147,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PENNSYLVANIA,2018,11,3,,10,,24,,159,,181,,,-,1,,4,,14,,6,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2018,11,4,,2,,10,,52,,64,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
ALASKA,2018,11,2,,2,,7,,23,,22,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
FLORIDA,2018,11,9,,13,,52,,238,,170,,,-,0,,2,,3,,1,,"FLORIDA
(28.915325, -81.922409)",
RHODE ISLAND,2018,11,,-,0,,6,,7,,17,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2018,11,9,,7,,20,,133,,111,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2018,11,1,,14,,40,,261,,270,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MISSOURI,2018,11,9,,10,,38,,232,,201,,2,,0,,5,,16,,8,,"MISSOURI
(38.636168, -92.566292)",
VIRGIN ISL.,2018,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WASHINGTON,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
ALABAMA,2018,11,2,,6,,31,,141,,117,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
KANSAS,2018,11,,-,4,,11,,54,,96,,,-,0,,1,,1,,,-,"KANSAS
(38.345528, -98.201847)",
GUAM,2018,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2018,11,,-,10,,30,,58,,185,,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
CONNECTICUT,2018,11,,-,5,,15,,75,,83,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ILLINOIS,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2018,11,2,,6,,20,,112,,117,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2018,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
VERMONT,2018,11,3,,1,,5,,22,,9,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WISCONSIN,2018,11,5,,9,,24,,117,,165,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TEXAS,2018,11,42,,27,,254,,553,,409,,1,,0,,2,,3,,4,,"TEXAS
(31.827233, -99.423022)",
HAWAII,2018,11,,-,1,,7,,20,,30,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
LOUISIANA,2018,11,10,,6,,27,,192,,92,,,-,0,,2,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
ARIZONA,2018,11,16,,12,,57,,349,,241,,,-,0,,2,,9,,,-,"ARIZONA
(34.869712, -111.760902)",
MARYLAND,2018,11,15,,9,,27,,159,,148,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2018,11,2,,6,,26,,130,,52,,,-,0,,10,,7,,3,,"NEW JERSEY
(40.104655, -74.386686)",
UTAH,2018,11,,-,5,,12,,54,,68,,,-,0,,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2018,11,1,,5,,15,,99,,77,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UNITED STATES,2018,12,223,,335,,983,,5595,,5720,,,-,3,,12,,82,,34,,,
NEW ENGLAND,2018,12,8,,23,,59,,356,,389,,,-,0,,2,,1,,,-,,
MID. ATLANTIC,2018,12,47,,50,,120,,858,,706,,,-,1,,10,,26,,10,,,
NEW YORK CITY,2018,12,16,,13,,29,,260,,215,,,-,0,,2,,1,,,-,,
E.N. CENTRAL,2018,12,30,,57,,147,,894,,988,,,-,0,,3,,18,,5,,,
W.N. CENTRAL,2018,12,17,,22,,63,,417,,448,,,-,0,,5,,19,,9,,,
S. ATLANTIC,2018,12,39,,57,,141,,826,,1131,,,-,0,,3,,4,,3,,,
E.S. CENTRAL,2018,12,7,,34,,93,,675,,608,,,-,0,,1,,,-,1,,,
W.S. CENTRAL,2018,12,44,,39,,320,,915,,652,,,-,0,,2,,5,,4,,,
MOUNTAIN,2018,12,31,,40,,100,,611,,740,,,-,0,,2,,9,,2,,,
PACIFIC,2018,12,,-,4,,11,,43,,58,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
PENNSYLVANIA,2018,12,4,,10,,24,,169,,191,,,-,1,,4,,14,,7,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2018,12,,-,3,,11,,55,,103,,,-,0,,1,,1,,,-,"KANSAS
(38.345528, -98.201847)",
C.N.M.I.,2018,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2018,12,,-,1,,7,,20,,33,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2018,12,,-,5,,12,,54,,76,,,-,0,,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
TEXAS,2018,12,32,,27,,260,,600,,456,,,-,0,,2,,4,,4,,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2018,12,,-,0,,6,,7,,19,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
GEORGIA,2018,12,9,,16,,36,,237,,311,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MISSISSIPPI,2018,12,4,,5,,15,,111,,78,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ILLINOIS,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2018,12,,-,0,,5,,7,,7,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2018,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2018,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2018,12,,-,14,,40,,136,,261,,,-,0,,2,,6,,3,,"MICHIGAN
(44.66399, -84.711206)",
MONTANA,2018,12,1,,2,,7,,30,,18,,,-,0,,1,,,-,2,,"MONTANA
(47.062617, -109.430168)",
ARKANSAS,2018,12,12,,6,,48,,123,,101,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW HAMPSHIRE,2018,12,,-,2,,6,,32,,35,,,-,0,,1,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
FLORIDA,2018,12,24,,12,,52,,256,,184,,,-,0,,2,,3,,3,,"FLORIDA
(28.915325, -81.922409)",
NEW MEXICO,2018,12,1,,6,,20,,119,,131,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MASSACHUSETTS,2018,12,7,,11,,24,,175,,204,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
TENNESSEE,2018,12,3,,15,,40,,286,,286,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2018,12,2,,9,,24,,121,,178,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2018,12,,-,7,,20,,133,,119,,,-,0,,1,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
MISSOURI,2018,12,13,,10,,38,,256,,216,,,-,0,,4,,15,,8,,"MISSOURI
(38.636168, -92.566292)",
ARIZONA,2018,12,28,,12,,57,,380,,257,,,-,0,,2,,9,,,-,"ARIZONA
(34.869712, -111.760902)",
COLORADO,2018,12,,-,9,,20,,,-,164,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2018,12,24,,16,,83,,293,,242,,,-,0,,1,,4,,,-,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NORTH CAROLINA,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2018,12,1,,2,,10,,40,,33,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VIRGIN ISL.,2018,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CONNECTICUT,2018,12,,-,5,,16,,78,,88,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
DIST. OF COL.,2018,12,,-,1,,4,,21,,19,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW JERSEY,2018,12,3,,6,,26,,136,,58,,,-,0,,10,,7,,3,,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
MARYLAND,2018,12,6,,9,,27,,166,,155,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
VERMONT,2018,12,,-,1,,5,,24,,10,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEVADA,2018,12,1,,3,,10,,21,,87,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
ALASKA,2018,12,,-,2,,7,,23,,25,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
INDIANA,2018,12,,-,12,,39,,191,,190,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
IOWA,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2018,12,,-,4,,16,,57,,79,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGINIA,2018,12,,-,0,,3,,9,,7,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2018,12,,-,1,,5,,24,,23,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
IDAHO,2018,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALABAMA,2018,12,,-,6,,31,,145,,125,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
